county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
napa,29 Outdoor Gear/Threat Scenarios,Jerry Kunzman,https://29og.com,707-647-2511,contact@29og.com,American Canyon,CA,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,2nd Amendment Firearms Academy LLC,Doug Kevilus,https://2afirearms.com,707-410-0389,info@2afirearms.com,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,AAO,Bryan Kinney,https://aao.com,707-400-3677,bryan@aao.com,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,Big Ranch Defensive Firearm Training,John Staggs; Tom Butler,https://bigranch.com,707-291-7275,john@bigranch.com,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,CCW Shooters,Michael Cordisco,,916-207-7350,michael@ccwshooters.com,Yuba City,CA,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,Coco Firearm Training LLC,Timothy Trickel,https://cocofirearms.com,925-384-1920,timothy@cocofirearms.com,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,Concealed Coalition,,https://concealedcoalition.com,,,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,"Crosshair Training, LLC",Dennis F. Jamarck Jr.,https://crosshairtraining.com,707-486-4445,dennis@crosshairtraining.com,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,Dobbs Firearm Training,Charles Dobbs,https://dobbsfirearms.com,888-486-0250,info@dobbsfirearms.com,Suisun City,CA,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,"Defensive Accuracy, LLC",Denise King,,408-687-3791,,San Leandro,CA,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,"First Priority Security Consulting, LLC",Keith Brown,https://firstprioritysecurity.com,510-736-4333,keith@firstprioritysecurity.com,Tracy,CA,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,"G4 Firearms, LLC",Scott Gabaldon,https://g4firearms.com,707-540-0509,,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,G&L Security,Garrett Simpson; Laramie Simpson,https://glsecurity.com,707-344-1057,info@glsecurity.com,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,Grover Group,,,510-676-6076,info@grovergroup.com,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,Kennedy Consulting,,,530-617-1486,info@kennedyconsulting.com,Fair Oaks,CA,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,Napa Rifle and Pistol Club,Jack Jennings,,707-479-0337,jack@naparifle.com,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,Northern Firearms Instruction - NFI,,https://nfi.com,530-776-4855,info@nfi.com,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,ONE on ONE Firearms,,https://oneononefirearms.com,916-494-9663,info@oneononefirearms.com,Sacramento,CA,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,Paladin Tactical US LLC,Daniel Butler,https://paladintactical.com,707-863-1064,dan@paladintactical.com,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,"Safe Firearms Education, LLC",,https://safefirearms.com,408-384-8598,info@safefirearms.com,San Jose,CA,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,Showket Training,Ziyad Showket,https://showkettraining.com,415-497-1983,zip@showkettraining.com,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,Split Fire Training,Michael Kenner,https://splitfire.com,707-712-8300,info@splitfire.com,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
napa,Steve's Firearms Service,Steve Hartung,,707-249-5400,,,,https://www.napacounty.gov/2511/Concealed-Weapons-Permit,webpage
